di  6 jun 2017 22:59:12 CEST									
									
**Summary Stats**									
Annotation:	VDAG_Jr2_Annotation.v5.gtf								
Predictions:             	augustus.gtf	braker.gtf	BAP.gtf   	BAplus.gtf	genemark.noF.gtf	genemark.F.gtf			
		All Introns Pred Count   	0	0	0	0	0	0	
		All Introns Ann Count    	0	0	0	0	0	0	
		All Introns Specificity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		All Introns Sensitivity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact UTR5 Pred Count    	0	0	0	0	0	0	
		Exact UTR5 Ann Count     	0	0	0	0	0	0	
		Exact UTR5 Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact UTR5 Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact UTR3 Pred Count    	0	0	0	0	0	0	
		Exact UTR3 Ann Count     	0	0	0	0	0	0	
		Exact UTR3 Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact UTR3 Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact Intron Pred Count  	0	0	0	0	0	0	
		Exact Intron Ann Count   	0	0	0	0	0	0	
		Exact Intron Specificity 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact Intron Sensitivity 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact Exon Pred Count    	0	0	0	0	0	0	
		Exact Exon Ann Count     	0	0	0	0	0	0	
		Exact Exon Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact Exon Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Start Codon Pred Count   	0	0	0	0	0	0	
		Start Codon Ann Count    	0	0	0	0	0	0	
		Start Codon Specificity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Start Codon Sensitivity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Stop Codon Pred Count    	0	0	0	0	0	0	
		Stop Codon Ann Count     	0	0	0	0	0	0	
		Stop Codon Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Stop Codon Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Start Stop Pred Count    	0	0	0	0	0	0	
		Start Stop Ann Count     	0	0	0	0	0	0	
		Start Stop Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Start Stop Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
Exon									
	All								
		Count                    	28247	27095	28927	27476	27096	27546	
		Ann Count                	28142	28142	28142	28142	28142	28142	
		Average Length           	583.85	541.97	555.99	559.42	554.71	541.61	
		Median Length            	324	286	303	300	303	286	
		Total Length             	16492067	14684670	16082994	15370746	15030432	14919127	
		Average Score            	0	0	0	0	0	0	
		Total Score              	0	0	0	0	0	0	
		Correct Pred Count       	18915	19742	20245	20698	17518	18878	
		Correct Ann Count        	18915	19742	20245	20698	17518	18878	
		Correct Specificity      	66.96%	72.86%	69.99%	75.33%	64.65%	68.53%	
		Correct Sensitivity      	67.21%	70.15%	71.94%	73.55%	62.25%	67.08%	
		Overlap Pred Count       	27314	26419	28051	26808	26323	26710	
		Overlap Ann Count        	27347	27060	27369	27225	26863	27044	
		Overlap Specificity      	96.70%	97.51%	96.97%	97.57%	97.15%	96.97%	
		Overlap Sensitivity      	97.18%	96.16%	97.25%	96.74%	95.46%	96.10%	
		Overlap 80p Pred Count   	22115	21795	22823	22702	20445	21333	
		Overlap 80p Ann Count    	22109	21807	22826	22727	20482	21365	
		Overlap 80p Specificity  	78.29%	80.44%	78.90%	82.62%	75.45%	77.45%	
		Overlap 80p Sensitivity  	78.56%	77.49%	81.11%	80.76%	72.78%	75.92%	
		Splice 5 Pred Count      	20766	21128	21800	21871	19460	20664	
		Splice 5 Ann Count       	20771	21091	21806	21878	19467	20671	
		Splice 5 Specificity     	73.52%	77.98%	75.36%	79.60%	71.82%	75.02%	
		Splice 5 Sensitivity     	73.81%	74.94%	77.49%	77.74%	69.17%	73.45%	
		Splice 3 Pred Count      	22529	22747	23322	23223	21197	21876	
		Splice 3 Ann Count       	22546	22661	23335	23240	21216	21892	
		Splice 3 Specificity     	79.76%	83.95%	80.62%	84.52%	78.23%	79.42%	
		Splice 3 Sensitivity     	80.12%	80.52%	82.92%	82.58%	75.39%	77.79%	
	Initial								
		Count                    	0	0	0	0	0	0	
		Ann Count                	0	0	0	0	0	0	
		Average Length           	0	0	0	0	0	0	
		Median Length            	0	0	0	0	0	0	
		Total Length             	0	0	0	0	0	0	
		Average Score            	0	0	0	0	0	0	
		Total Score              	0	0	0	0	0	0	
		Correct Pred Count       	0	0	0	0	0	0	
		Correct Ann Count        	0	0	0	0	0	0	
		Correct Specificity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Correct Sensitivity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap Pred Count       	0	0	0	0	0	0	
		Overlap Ann Count        	0	0	0	0	0	0	
		Overlap Specificity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap Sensitivity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap 80p Pred Count   	0	0	0	0	0	0	
		Overlap 80p Ann Count    	0	0	0	0	0	0	
		Overlap 80p Specificity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap 80p Sensitivity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 5 Pred Count      	0	0	0	0	0	0	
		Splice 5 Ann Count       	0	0	0	0	0	0	
		Splice 5 Specificity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 5 Sensitivity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 3 Pred Count      	0	0	0	0	0	0	
		Splice 3 Ann Count       	0	0	0	0	0	0	
		Splice 3 Specificity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 3 Sensitivity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
	Internal								
		Count                    	28247	27095	28927	27476	27096	27546	
		Ann Count                	28142	28142	28142	28142	28142	28142	
		Average Length           	583.85	541.97	555.99	559.42	554.71	541.61	
		Median Length            	324	286	303	300	303	286	
		Total Length             	16492067	14684670	16082994	15370746	15030432	14919127	
		Average Score            	0	0	0	0	0	0	
		Total Score              	0	0	0	0	0	0	
		Correct Pred Count       	18915	19742	20245	20698	17518	18878	
		Correct Ann Count        	18915	19742	20245	20698	17518	18878	
		Correct Specificity      	66.96%	72.86%	69.99%	75.33%	64.65%	68.53%	
		Correct Sensitivity      	67.21%	70.15%	71.94%	73.55%	62.25%	67.08%	
		Overlap Pred Count       	27314	26419	28051	26808	26323	26710	
		Overlap Ann Count        	27347	27060	27369	27225	26863	27044	
		Overlap Specificity      	96.70%	97.51%	96.97%	97.57%	97.15%	96.97%	
		Overlap Sensitivity      	97.18%	96.16%	97.25%	96.74%	95.46%	96.10%	
		Overlap 80p Pred Count   	22115	21795	22823	22702	20445	21333	
		Overlap 80p Ann Count    	22109	21807	22826	22727	20482	21365	
		Overlap 80p Specificity  	78.29%	80.44%	78.90%	82.62%	75.45%	77.45%	
		Overlap 80p Sensitivity  	78.56%	77.49%	81.11%	80.76%	72.78%	75.92%	
		Splice 5 Pred Count      	20766	21128	21800	21871	19460	20664	
		Splice 5 Ann Count       	20771	21091	21806	21878	19467	20671	
		Splice 5 Specificity     	73.52%	77.98%	75.36%	79.60%	71.82%	75.02%	
		Splice 5 Sensitivity     	73.81%	74.94%	77.49%	77.74%	69.17%	73.45%	
		Splice 3 Pred Count      	22529	22747	23322	23223	21197	21876	
		Splice 3 Ann Count       	22546	22661	23335	23240	21216	21892	
		Splice 3 Specificity     	79.76%	83.95%	80.62%	84.52%	78.23%	79.42%	
		Splice 3 Sensitivity     	80.12%	80.52%	82.92%	82.58%	75.39%	77.79%	
	Terminal								
		Count                    	0	0	0	0	0	0	
		Ann Count                	0	0	0	0	0	0	
		Average Length           	0	0	0	0	0	0	
		Median Length            	0	0	0	0	0	0	
		Total Length             	0	0	0	0	0	0	
		Average Score            	0	0	0	0	0	0	
		Total Score              	0	0	0	0	0	0	
		Correct Pred Count       	0	0	0	0	0	0	
		Correct Ann Count        	0	0	0	0	0	0	
		Correct Specificity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Correct Sensitivity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap Pred Count       	0	0	0	0	0	0	
		Overlap Ann Count        	0	0	0	0	0	0	
		Overlap Specificity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap Sensitivity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap 80p Pred Count   	0	0	0	0	0	0	
		Overlap 80p Ann Count    	0	0	0	0	0	0	
		Overlap 80p Specificity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap 80p Sensitivity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 5 Pred Count      	0	0	0	0	0	0	
		Splice 5 Ann Count       	0	0	0	0	0	0	
		Splice 5 Specificity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 5 Sensitivity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 3 Pred Count      	0	0	0	0	0	0	
		Splice 3 Ann Count       	0	0	0	0	0	0	
		Splice 3 Specificity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 3 Sensitivity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
	Single								
		Count                    	0	0	0	0	0	0	
		Ann Count                	0	0	0	0	0	0	
		Average Length           	0	0	0	0	0	0	
		Median Length            	0	0	0	0	0	0	
		Total Length             	0	0	0	0	0	0	
		Average Score            	0	0	0	0	0	0	
		Total Score              	0	0	0	0	0	0	
		Correct Pred Count       	0	0	0	0	0	0	
		Correct Ann Count        	0	0	0	0	0	0	
		Correct Specificity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Correct Sensitivity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap Pred Count       	0	0	0	0	0	0	
		Overlap Ann Count        	0	0	0	0	0	0	
		Overlap Specificity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap Sensitivity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap 80p Pred Count   	0	0	0	0	0	0	
		Overlap 80p Ann Count    	0	0	0	0	0	0	
		Overlap 80p Specificity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap 80p Sensitivity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 5 Pred Count      	0	0	0	0	0	0	
		Splice 5 Ann Count       	0	0	0	0	0	0	
		Splice 5 Specificity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 5 Sensitivity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 3 Pred Count      	0	0	0	0	0	0	
		Splice 3 Ann Count       	0	0	0	0	0	0	
		Splice 3 Specificity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 3 Sensitivity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
	UTR3								
		Count                    	0	0	0	0	0	0	
		Ann Count                	10688	10688	10688	10688	10688	10688	
		Average Length           	0	0	0	0	0	0	
		Median Length            	0	0	0	0	0	0	
		Total Length             	0	0	0	0	0	0	
		Average Score            	0	0	0	0	0	0	
		Total Score              	0	0	0	0	0	0	
		Correct Pred Count       	0	0	0	0	0	0	
		Correct Ann Count        	0	0	0	0	0	0	
		Correct Specificity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Correct Sensitivity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap Pred Count       	0	0	0	0	0	0	
		Overlap Ann Count        	0	0	0	0	0	0	
		Overlap Specificity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap Sensitivity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap 80p Pred Count   	0	0	0	0	0	0	
		Overlap 80p Ann Count    	0	0	0	0	0	0	
		Overlap 80p Specificity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap 80p Sensitivity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 5 Pred Count      	0	0	0	0	0	0	
		Splice 5 Ann Count       	0	0	0	0	0	0	
		Splice 5 Specificity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 5 Sensitivity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 3 Pred Count      	0	0	0	0	0	0	
		Splice 3 Ann Count       	0	0	0	0	0	0	
		Splice 3 Specificity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 3 Sensitivity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
	UTR5								
		Count                    	0	0	0	0	0	0	
		Ann Count                	11700	11700	11700	11700	11700	11700	
		Average Length           	0	0	0	0	0	0	
		Median Length            	0	0	0	0	0	0	
		Total Length             	0	0	0	0	0	0	
		Average Score            	0	0	0	0	0	0	
		Total Score              	0	0	0	0	0	0	
		Correct Pred Count       	0	0	0	0	0	0	
		Correct Ann Count        	0	0	0	0	0	0	
		Correct Specificity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Correct Sensitivity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap Pred Count       	0	0	0	0	0	0	
		Overlap Ann Count        	0	0	0	0	0	0	
		Overlap Specificity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap Sensitivity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap 80p Pred Count   	0	0	0	0	0	0	
		Overlap 80p Ann Count    	0	0	0	0	0	0	
		Overlap 80p Specificity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap 80p Sensitivity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 5 Pred Count      	0	0	0	0	0	0	
		Splice 5 Ann Count       	0	0	0	0	0	0	
		Splice 5 Specificity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 5 Sensitivity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 3 Pred Count      	0	0	0	0	0	0	
		Splice 3 Ann Count       	0	0	0	0	0	0	
		Splice 3 Specificity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 3 Sensitivity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
	Intron								
		Count                    	17936	17333	18412	17246	17547	17570	
		Ann Count                	16705	16705	16705	16705	16705	16705	
		Average Length           	96.33	105.34	91.54	81.21	167.99	116.07	
		Median Length            	61	61	61	61	62	61	
		Total Length             	1727691	1825839	1685503	1400523	2947750	2039338	
		Average Score            	0	0	0	0	0	0	
		Total Score              	0	0	0	0	0	0	
		Correct Pred Count       	13100	14020	14119	14170	12376	13259	
		Correct Ann Count        	13100	14020	14119	14170	12376	13259	
		Correct Specificity      	73.04%	80.89%	76.68%	82.16%	70.53%	75.46%	
		Correct Sensitivity      	78.42%	83.93%	84.52%	84.82%	74.09%	79.37%	
		Overlap Pred Count       	15309	15351	15751	15244	14830	15073	
		Overlap Ann Count        	15126	15195	15466	15195	14958	15084	
		Overlap Specificity      	85.35%	88.57%	85.55%	88.39%	84.52%	85.79%	
		Overlap Sensitivity      	90.55%	90.96%	92.58%	90.96%	89.54%	90.30%	
		Overlap 80p Pred Count   	13498	14234	14389	14385	12692	13524	
		Overlap 80p Ann Count    	13493	14194	14377	14376	12702	13520	
		Overlap 80p Specificity  	75.26%	82.12%	78.15%	83.41%	72.33%	76.97%	
		Overlap 80p Sensitivity  	80.77%	84.97%	86.06%	86.06%	76.04%	80.93%	
		Splice 5 Pred Count      	13907	14355	14598	14516	13169	13743	
		Splice 5 Ann Count       	13909	14325	14600	14518	13171	13743	
		Splice 5 Specificity     	77.54%	82.82%	79.29%	84.17%	75.05%	78.22%	
		Splice 5 Sensitivity     	83.26%	85.75%	87.40%	86.91%	78.84%	82.27%	
		Splice 3 Pred Count      	13510	14212	14399	14347	12800	13711	
		Splice 3 Ann Count       	13510	14205	14401	14350	12806	13714	
		Splice 3 Specificity     	75.32%	81.99%	78.20%	83.19%	72.95%	78.04%	
		Splice 3 Sensitivity     	80.87%	85.03%	86.21%	85.90%	76.66%	82.10%	
	InframeOptional								
		Count                    	0	2	0	0	0	0	
		Ann Count                	0	0	0	0	0	0	
		Average Length           	0	91.5	0	0	0	0	
		Median Length            	0	117	0	0	0	0	
		Total Length             	0	183	0	0	0	0	
		Average Score            	0	0	0	0	0	0	
		Total Score              	0	0	0	0	0	0	
		Correct Pred Count       	0	0	0	0	0	0	
		Correct Ann Count        	0	0	0	0	0	0	
		Correct Specificity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Correct Sensitivity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap Pred Count       	0	0	0	0	0	0	
		Overlap Ann Count        	0	0	0	0	0	0	
		Overlap Specificity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap Sensitivity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap 80p Pred Count   	0	0	0	0	0	0	
		Overlap 80p Ann Count    	0	0	0	0	0	0	
		Overlap 80p Specificity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap 80p Sensitivity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 5 Pred Count      	0	0	0	0	0	0	
		Splice 5 Ann Count       	0	0	0	0	0	0	
		Splice 5 Specificity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 5 Sensitivity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 3 Pred Count      	0	0	0	0	0	0	
		Splice 3 Ann Count       	0	0	0	0	0	0	
		Splice 3 Specificity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 3 Sensitivity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
	FrameshiftOptional								
		Count                    	0	0	0	0	0	0	
		Ann Count                	0	0	0	0	0	0	
		Average Length           	0	0	0	0	0	0	
		Median Length            	0	0	0	0	0	0	
		Total Length             	0	0	0	0	0	0	
		Average Score            	0	0	0	0	0	0	
		Total Score              	0	0	0	0	0	0	
		Correct Pred Count       	0	0	0	0	0	0	
		Correct Ann Count        	0	0	0	0	0	0	
		Correct Specificity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Correct Sensitivity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap Pred Count       	0	0	0	0	0	0	
		Overlap Ann Count        	0	0	0	0	0	0	
		Overlap Specificity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap Sensitivity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap 80p Pred Count   	0	0	0	0	0	0	
		Overlap 80p Ann Count    	0	0	0	0	0	0	
		Overlap 80p Specificity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Overlap 80p Sensitivity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 5 Pred Count      	0	0	0	0	0	0	
		Splice 5 Ann Count       	0	0	0	0	0	0	
		Splice 5 Specificity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 5 Sensitivity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 3 Pred Count      	0	0	0	0	0	0	
		Splice 3 Ann Count       	0	0	0	0	0	0	
		Splice 3 Specificity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Splice 3 Sensitivity     	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
Nuc									
	All								
		Count                    	6552100	6280628	6488053	6395595	6361549	6346460	
		Ann Count                	6424201	6424201	6424201	6424201	6424201	6424201	
		Correct Pred Count       	6275319	6097433	6251009	6202922	6149683	6146169	
		Correct Ann Count        	6275319	6097433	6251009	6202922	6149683	6146169	
		Correct Specificity      	95.78%	97.08%	96.35%	96.99%	96.67%	96.84%	
		Correct Sensitivity      	97.68%	94.91%	97.30%	96.56%	95.73%	95.67%	
	Initial								
		Count                    	0	0	0	0	0	0	
		Ann Count                	0	0	0	0	0	0	
		Correct Pred Count       	0	0	0	0	0	0	
		Correct Ann Count        	0	0	0	0	0	0	
		Correct Specificity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Correct Sensitivity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
	Internal								
		Count                    	6552100	6280628	6488053	6395595	6361549	6346460	
		Ann Count                	6424201	6424201	6424201	6424201	6424201	6424201	
		Correct Pred Count       	6275319	6097433	6251009	6202922	6149683	6146169	
		Correct Ann Count        	6275319	6097433	6251009	6202922	6149683	6146169	
		Correct Specificity      	95.78%	97.08%	96.35%	96.99%	96.67%	96.84%	
		Correct Sensitivity      	97.68%	94.91%	97.30%	96.56%	95.73%	95.67%	
	Terminal								
		Count                    	0	0	0	0	0	0	
		Ann Count                	0	0	0	0	0	0	
		Correct Pred Count       	0	0	0	0	0	0	
		Correct Ann Count        	0	0	0	0	0	0	
		Correct Specificity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Correct Sensitivity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
	Single								
		Count                    	0	0	0	0	0	0	
		Ann Count                	0	0	0	0	0	0	
		Correct Pred Count       	0	0	0	0	0	0	
		Correct Ann Count        	0	0	0	0	0	0	
		Correct Specificity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Correct Sensitivity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
	UTR3								
		Count                    	0	0	0	0	0	0	
		Ann Count                	2230826	2230826	2230826	2230826	2230826	2230826	
		Correct Pred Count       	0	0	0	0	0	0	
		Correct Ann Count        	0	0	0	0	0	0	
		Correct Specificity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Correct Sensitivity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
	UTR5								
		Count                    	0	0	0	0	0	0	
		Ann Count                	2565856	2565856	2565856	2565856	2565856	2565856	
		Correct Pred Count       	0	0	0	0	0	0	
		Correct Ann Count        	0	0	0	0	0	0	
		Correct Specificity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Correct Sensitivity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
	Intron								
		Count                    	1512377	1581351	1481770	1261595	2357639	1746740	
		Ann Count                	1207249	1207249	1207249	1207249	1207249	1207249	
		Correct Pred Count       	1001815	1031797	1041863	1022929	1005558	1011840	
		Correct Ann Count        	1001815	1031797	1041863	1022929	1005558	1011840	
		Correct Specificity      	66.24%	65.25%	70.31%	81.08%	42.65%	57.93%	
		Correct Sensitivity      	82.98%	85.47%	86.30%	84.73%	83.29%	83.81%	
	InframeOptional								
		Count                    	0	117	0	0	0	0	
		Ann Count                	0	0	0	0	0	0	
		Correct Pred Count       	0	0	0	0	0	0	
		Correct Ann Count        	0	0	0	0	0	0	
		Correct Specificity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Correct Sensitivity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
	FrameshiftOptional								
		Count                    	0	0	0	0	0	0	
		Ann Count                	0	0	0	0	0	0	
		Correct Pred Count       	0	0	0	0	0	0	
		Correct Ann Count        	0	0	0	0	0	0	
		Correct Specificity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Correct Sensitivity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
Signal									
	Splice Acceptor								
		Count                    	28247	27095	28927	27476	27096	27546	
		Ann Count                	28142	28142	28142	28142	28142	28142	
		Correct Pred Count       	20766	21128	21800	21871	19460	20664	
		Correct Ann Count        	20771	21091	21806	21878	19467	20671	
		Correct Specificity      	73.52%	77.98%	75.36%	79.60%	71.82%	75.02%	
		Correct Sensitivity      	73.81%	74.94%	77.49%	77.74%	69.17%	73.45%	
	Splice Donor								
		Count                    	28247	27095	28927	27476	27096	27546	
		Ann Count                	28142	28142	28142	28142	28142	28142	
		Correct Pred Count       	22529	22747	23322	23223	21197	21876	
		Correct Ann Count        	22546	22661	23335	23240	21216	21892	
		Correct Specificity      	79.76%	83.95%	80.62%	84.52%	78.23%	79.42%	
		Correct Sensitivity      	80.12%	80.52%	82.92%	82.58%	75.39%	77.79%	
	Start Codon								
		Count                    	0	0	0	0	0	0	
		Ann Count                	0	0	0	0	0	0	
		Correct Pred Count       	0	0	0	0	0	0	
		Correct Ann Count        	0	0	0	0	0	0	
		Correct Specificity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Correct Sensitivity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
	Stop Codon								
		Count                    	0	0	0	0	0	0	
		Ann Count                	0	0	0	0	0	0	
		Correct Pred Count       	0	0	0	0	0	0	
		Correct Ann Count        	0	0	0	0	0	0	
		Correct Specificity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Correct Sensitivity      	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
di  6 jun 2017 23:00:49 CEST									
